Jahr,Olympische Winterspiele in,Teilnehmer,Wettbewerbe,Beste Nationen,BesteÂ Sportler
1924 #I,Chamonix (F),"294 aus 16 Nationen, davon 13 Frauen",16 in 7 Sportarten,"NOR (4xG, 7xS, 6xB)FIN (4xG, 4xS, 3xB)AUT (2xG, 1xS)","Clas Thunberg (FIN) im Eisschnelllauf (3xG, 1xS, 1xB)Thorleif Haug (NOR) im Ski Nordisch (3xG, 1xB)"
1928 #II,St. Moritz (CH),"464 aus 25 Nationen, davon 27 Frauen",14 in 6 Sportarten,"NOR (6xG, 4xS, 5xB)USA (2xG, 2xS, 2xB)SWE (2xG, 2xS, 1xB)","JohanÂ GrÃ¸ttumsbrÃ¥ten (NOR) im Ski Nordisch (2xG)Clas Thunberg (FIN) im Eisschnelllauf (2xG)Bernt Evensen (NOR) im Eisschnelllauf (1xG, 1xS, 1xB)"
""
1932 #III,Lake Placid (USA),"252 aus 17 Nationen, davon 21 Frauen",14 in 5 Sportarten,"USA (6xG, 4xS, 2xB)NOR (3xG, 4xS, 3xB)SWE (1xG, 2xS)","Jack Shea (USA) im Eisschnelllauf (2xG)Veli Saarinen (FIN) im Langlauf (1xG, 1xB)"
1936 #IV,Garmisch-Partenkirchen (D),"646 aus 28 Nationen, davon 80 Frauen",17 in 6 Sportarten,"NOR (7xG, 5xS, 3xB)Deutsches Reich (3xG, 3xS)SWE (2xG, 2xS, 3xB)","Ivar Ballangrud (NOR) im Eisschnelllauf (3xG, 1xS)Ernst Baier (D) im Eiskunstlauf (1xG, 1xS)"
1940,St. Moritz (CH) + Sapporo (JAP),Keine Olympische Winterspiele,ausgefallen wegen 2. Weltkrieg,Â,Â
1944,Cortina dâAmpezzo (IT),Keine Olympische Winterspiele,ausgefallen wegen 2. Weltkrieg,Â,Â
1948 #V,St. Moritz (CH),"669 aus 28 Nationen, davon 77 Frauen",22 in 6 Sportarten,"NOR (4xG, 3xS, 3xB)SWE (4xG, 3xS, 3xB)CH (3xG, 4xS, 3xB)","Henri Oreiller (FRA) im Ski Alpin (2xG, 1xB)Martin LundstrÃ¶m (SWE) im Ski Nordisch (2xG)"
1952 #VI,Oslo (NOR),"694 aus 30 Nationen, davon 109 Frauen",22 in 6 Sportarten,"NOR (7xG, 3xS, 6xB)USA (4xG, 6xS, 1xB)FIN (3xG, 4xS, 2xB)",Hjalmar Andersen (NOR) im Eisschnelllauf (2xG)Andrea Mead-Lawrence (USA) im Ski Alpin (2xG)
1956#VII,Cortina dâAmpezzo (IT),"821 aus 32 Nationen, davon 134 Frauen",24 in 6 Sportarten,"UdSSR (7xG, 3xS, 6xB)AUT (4xG, 3xS, 4xB)FIN (3xG, 3xS, 1xB)","Toni Sailer (AUT) im Ski Alpin (3xG)Sixten Jernberg (SWE) im Langlauf (1xG, 2xS, 1xB)"
1960 #VIII,Squaw Valley (USA),"665 aus 30 Nationen, davon 144 Frauen",27Â in 6Â  Sportarten,"UdSSR (7xG, 5xS, 9xB)D (4xG, 3xS, 1xB)USA (3xG, 4xS, 3xB)","Lidija Skoblikowa (UdSSR) im Eisschnelllauf (2xG)Helga Haase (D) im Eisschnelllauf (1xG, 1xS)"
""
1964 #IX,Innsbruck (AUT),"1 091 aus 36 Nationen, davon 199 Frauen",34Â in 8 Sportarten,"UdSSR (11xG, 8xS, 6xB)AUT (4xG, 5xS, 3xB)NOR (3xG, 6xS, 6xB)","Lidija Skoblikowa (UdSSR) im Eisschnelllauf (4xG)Klawdija Bojarskich (UdSSR) im Langlauf (3xG)Eero MÃ¤ntyranta (FIN) im Langlauf (2xG, 1xS)"
