Jahr_stage,Land_code_stage,Anlass_stage
1924,FRA,Olympische Winterspiele
1928,CHE,Olympische Winterspiele
1932,USA,Olympische Winterspiele
1936,DEU,Olympische Winterspiele
1940,JPN,Olympische Winterspiele
1944,ITA,Olympische Winterspiele
1948,CHE,Olympische Winterspiele
1952,NOR,Olympische Winterspiele
1956,ITA,Olympische Winterspiele
1960,USA,Olympische Winterspiele
1964,AUT,Olympische Winterspiele
1968,FRA,Olympische Winterspiele
1972,JPN,Olympische Winterspiele
1976,AUT,Olympische Winterspiele
1980,USA,Olympische Winterspiele
1984,BIH,Olympische Winterspiele
1988,CAN,Olympische Winterspiele
1992,FRA,Olympische Winterspiele
1994,NOR,Olympische Winterspiele
1998,JPN,Olympische Winterspiele
2002,USA,Olympische Winterspiele
2006,ITA,Olympische Winterspiele
2010,CAN,Olympische Winterspiele
2014,RUS,Olympische Winterspiele
2018,KOR,Olympische Winterspiele
2022,CHN,Olympische Winterspiele
2026,ITA,Olympische Winterspiele
