Jahr,Land_code,Anlass
1896,GRC,Olympische Sommerspiele
1900,FRA,Olympische Sommerspiele
1904,USA,Olympische Sommerspiele
1906,GRC,Olympische Sommerspiele
1908,GBR,Olympische Sommerspiele
1912,SWE,Olympische Sommerspiele
1916,DEU,Olympische Sommerspiele
1920,BEL,Olympische Sommerspiele
1924,FRA,Olympische Sommerspiele
1928,NLD,Olympische Sommerspiele
1932,USA,Olympische Sommerspiele
1936,DEU,Olympische Sommerspiele
1940,JPN,Olympische Sommerspiele
1940,FIN,Olympische Sommerspiele
1948,GBR,Olympische Sommerspiele
1952,FIN,Olympische Sommerspiele
1956,AUS,Olympische Sommerspiele
1960,ITA,Olympische Sommerspiele
1964,JPN,Olympische Sommerspiele
1968,MEX,Olympische Sommerspiele
1972,DEU,Olympische Sommerspiele
1976,CAN,Olympische Sommerspiele
1980,RUS,Olympische Sommerspiele
1984,USA,Olympische Sommerspiele
1988,KOR,Olympische Sommerspiele
1992,ESP,Olympische Sommerspiele
1996,USA,Olympische Sommerspiele
2000,AUS,Olympische Sommerspiele
2004,GRC,Olympische Sommerspiele
2008,CHN,Olympische Sommerspiele
2012,GBR,Olympische Sommerspiele
2016,BRA,Olympische Sommerspiele
2021,JPN,Olympische Sommerspiele
2024,FRA,Olympische Sommerspiele
2028,USA,Olympische Sommerspiele
