Kontinent      ,Land     Klick = Karte anzeigen 
Afrika,Aegypten
Afrika,Aequatorial-Guinea
Afrika,Aethiopien
Asien,Afghanistan
Europe,Albanien
Afrika,Algerien
Australien,Amerikanisch-Samoa
Europa,Andorra
Afrika,Angola
Suedamerika,Anguilla
Antarktika,Antarktis
Nordamerika,Antigua & Barbuda
Suedamerika,Argentinien
Asien,Armenien
Suedamerika,Aruba
Asien,Aserbaidschan
Australien,Australien
Nordamerika,Bahamas
Asien,Bahrain
Asien,Bangladesch
Nordamerika,Barbados
Europa,Belgien
Nordamerika,Belize
Afrika;Benin
Nordamerika,Bermuda
Asien,Bhutan
Suedamerika,Bolivien
Europa,Bosnien-Herzegowina
Afrika,Botsuana
Suedamerika,Brasilien
Asien,Brunei
Europa,Bulgarien
Afrika;Burkina Faso
Afrika,Burundi
Suedamerika,Chile
Asien,China
Australien,Cook-Inseln
Nordamerika,Costa Rica
Suedamerika,Curacao
Europa,Daenemark
Europa,Deutschland
Nordamerika,Dominica (Karibikinsel)
Nordamerika,Dominikanische Republik
Afrika,Dschibuti
Suedamerika,Ecuador
Nordamerika,El Salvador
Afrika,Elfenbeinkueste
Afrika,Eritrea
Europa,Estland
Europa,Faeroeer Inseln
Suedamerika,Falkland-Inseln
Australien,Fidschi Inseln
Europa,Finnland
Europa,Frankreich
Suedamerika,Franzoesisch-Guayana
Australien,Franzoesisch-Polynesien
Afrika,Gabun
Afrika,Gambia
Asien,Gaza Streifen
Asien,Georgien
Afrika,Ghana
Europa,Gibraltar (brit. Ueberseegb)
Nordamerika,Grenada
Europa,Griechenland
Nordamerika,Groenland
Europa,Grossbritannien u. Nordirl.
Nordamerika,Guadeloupe
Australien;Guam
Nordamerika,Guatemala
Europa,Guernsey
Afrika,Guinea
Afrika,Guinea-Bissau
Suedamerika,Guyana
Nordamerika,Haiti
Nordamerika,Honduras
Asien,Hongkong
Asien,Indien,d
Asien,Indonesien
Asien,Irak
Asien,Iran
Irland
Europe,Island
Europa,Isle of Man
Asien,Israel
Europa,Italien
Nordamerika,Jamaika
Asien,Japan
Asien,Jemen
Europa,Jersey
Asien,Jordanien
Nordamerika,Jungferninseln (amerikanisch)
Nordamerika,Jungferninseln (britisch)
Nordamerika,Kaimaninseln
Asien,Kambodscha
Afrika,Kamerun
Nordamerika,Kanada
Afrika,Kap Verde
Europa/Asien,Kasachstan
Asien,Katar
Afrika,Kenia
Asien,Kirgistan
Australien,Kiribati
Australien,Kokosinseln (Keelinginseln)
Suedamerika,Kolumbien
Afrika,Komoren
Afrika,Kongo (Dem. Rep.)
Afrika,Kongo (Rep.)
Asien,
Korea (Nord)
Asien,Korea (Sued)
Europa,Kosovo
Europa,Kroatien
Nordamerika,Kuba
Asien,Kuwait
Asien,Laos
