Jahr,Land_code,Anlass
1900,FRA,Olympische Sommerspiele
1904,USA,Olympische Sommerspiele
1916,DEU,Olympische Sommerspiele
1924,FRA,Olympische Winterspiele
1924,FRA,Olympische Sommerspiele
1932,USA,Olympische Winterspiele
1932,USA,Olympische Sommerspiele
1934,ITA,WM
1936,DEU,Olympische Winterspiele
1936,DEU,Olympische Sommerspiele
1938,FRA,WM
1944,ITA,Olympische Winterspiele
1956,ITA,Olympische Winterspiele
1960,USA,Olympische Winterspiele
1960,ITA,Olympische Sommerspiele
1968,FRA,Olympische Winterspiele
1972,DEU,Olympische Sommerspiele
1974,DEU,WM
1980,USA,Olympische Winterspiele
1984,USA,Olympische Sommerspiele
1990,ITA,WM
1992,FRA,Olympische Winterspiele
1994,USA,WM
1996,USA,Olympische Sommerspiele
1998,FRA,WM
2002,USA,Olympische Winterspiele
2006,ITA,Olympische Winterspiele
2006,DEU,WM
2024,FRA,Olympische Sommerspiele
2026,ITA,Olympische Winterspiele
2028,USA,Olympische Sommerspiele
