VariableCode,RegionCode,YearCode,AggValue
rgdpna,ABW,1970,262.30859375000000000
rgdpna,ABW,1971,286.14843750000000000
rgdpna,ABW,1972,312.15496826171900000
rgdpna,ABW,1973,340.52511596679700000
rgdpna,ABW,1974,371.47366333007800000
rgdpna,ABW,1975,405.23498535156300000
rgdpna,ABW,1976,442.06466674804700000
rgdpna,ABW,1977,482.24163818359400000
rgdpna,ABW,1978,526.07006835937500000
rgdpna,ABW,1979,573.88183593750000000
rgdpna,ABW,1980,626.03900146484400000
rgdpna,ABW,1981,682.93634033203100000
rgdpna,ABW,1982,745.00488281250000000
rgdpna,ABW,1983,812.71453857421900000
rgdpna,ABW,1984,886.57794189453100000
rgdpna,ABW,1985,967.15435791015600000
rgdpna,ABW,1986,1055.05395507813000000
rgdpna,ABW,1987,1224.69006347656000000
rgdpna,ABW,1988,1453.07824707031000000
rgdpna,ABW,1989,1629.33435058594000000
rgdpna,ABW,1990,1693.87890625000000000
rgdpna,ABW,1991,1828.76025390625000000
rgdpna,ABW,1992,1936.33447265625000000
rgdpna,ABW,1993,2077.83593750000000000
rgdpna,ABW,1994,2248.29956054688000000
rgdpna,ABW,1995,2304.65869140625000000
rgdpna,ABW,1996,2333.35375976563000000
rgdpna,ABW,1997,2515.69213867188000000
rgdpna,ABW,1998,2683.40380859375000000
rgdpna,ABW,1999,2714.38281250000000000
rgdpna,ABW,2000,2836.91186523438000000
rgdpna,ABW,2001,2826.56567382813000000
rgdpna,ABW,2002,2765.38574218750000000
rgdpna,ABW,2003,2778.25268554688000000
rgdpna,ABW,2004,2987.16284179688000000
rgdpna,ABW,2005,3022.31225585938000000
rgdpna,ABW,2006,3030.11206054688000000
rgdpna,ABW,2007,3115.24121093750000000
rgdpna,ABW,2008,3042.48022460938000000
rgdpna,ABW,2009,2782.59252929688000000
rgdpna,ABW,2010,2691.88891601563000000
rgdpna,ABW,2011,2701.08422851563000000
rgdpna,ABW,2012,2664.08349609375000000
rgdpna,ABW,2013,2775.92749023438000000
rgdpna,ABW,2014,2783.49291992188000000
rgdpna,ABW,2015,2942.78222656250000000
rgdpna,ABW,2016,3003.41357421875000000
rgdpna,ABW,2017,3062.58056640625000000
rgdpna,ABW,2018,3090.40478515625000000
rgdpna,ABW,2019,3068.75830078125000000
rgdpna,AGO,1970,54237.05468750000000000
rgdpna,AGO,1971,57491.27734375000000000
rgdpna,AGO,1972,57606.26171875000000000
rgdpna,AGO,1973,62272.36718750000000000
rgdpna,AGO,1974,64202.80859375000000000
rgdpna,AGO,1975,60992.67187500000000000
rgdpna,AGO,1976,57821.05078125000000000
rgdpna,AGO,1977,58283.61718750000000000
rgdpna,AGO,1978,55194.58593750000000000
rgdpna,AGO,1979,55360.16796875000000000
rgdpna,AGO,1980,56688.81640625000000000
rgdpna,AGO,1981,54194.50390625000000000
rgdpna,AGO,1982,54194.50390625000000000
rgdpna,AGO,1983,56470.67578125000000000
rgdpna,AGO,1984,59858.92187500000000000
rgdpna,AGO,1985,61953.98046875000000000
rgdpna,AGO,1986,63921.74218750000000000
rgdpna,AGO,1987,68396.50000000000000000
rgdpna,AGO,1988,72208.15625000000000000
rgdpna,AGO,1989,72487.94531250000000000
rgdpna,AGO,1990,72165.63281250000000000
rgdpna,AGO,1991,72881.05468750000000000
rgdpna,AGO,1992,68626.05468750000000000
rgdpna,AGO,1993,52167.17578125000000000
rgdpna,AGO,1994,52865.88671875000000000
rgdpna,AGO,1995,60795.77343750000000000
rgdpna,AGO,1996,69030.17968750000000000
rgdpna,AGO,1997,74051.62500000000000000
rgdpna,AGO,1998,77525.50000000000000000
rgdpna,AGO,1999,79216.70312500000000000
rgdpna,AGO,2000,81636.47656250000000000
rgdpna,AGO,2001,84199.86718750000000000
rgdpna,AGO,2002,96434.10156250000000000
rgdpna,AGO,2003,99317.33593750000000000
rgdpna,AGO,2004,110195.65625000000000000
rgdpna,AGO,2005,126757.17968750000000000
rgdpna,AGO,2006,141521.79687500000000000
rgdpna,AGO,2007,161348.04687500000000000
rgdpna,AGO,2008,179361.67187500000000000
rgdpna,AGO,2009,180901.59375000000000000
rgdpna,AGO,2010,189691.96875000000000000
rgdpna,AGO,2011,196278.03125000000000000
rgdpna,AGO,2012,213044.40625000000000000
rgdpna,AGO,2013,223599.89062500000000000
rgdpna,AGO,2014,234383.26562500000000000
rgdpna,AGO,2015,236594.85937500000000000
rgdpna,AGO,2016,230491.17187500000000000
rgdpna,AGO,2017,230151.34375000000000000
rgdpna,AGO,2018,225540.04687500000000000
rgdpna,AGO,2019,222151.06250000000000000
rgdpna,AIA,1970,26.52327537536620000
rgdpna,AIA,1971,25.86057090759280000
rgdpna,AIA,1972,28.84448051452640000
rgdpna,AIA,1973,30.04992485046390000
rgdpna,AIA,1974,29.98931694030760000
rgdpna,AIA,1975,31.01545143127440000
rgdpna,AIA,1976,31.49643707275390000
rgdpna,AIA,1977,31.55578804016110000
rgdpna,AIA,1978,33.90612030029300000
rgdpna,AIA,1979,37.13109970092770000
rgdpna,AIA,1980,38.93984222412110000
rgdpna,AIA,1981,40.38880920410160000
rgdpna,AIA,1982,39.93690109252930000
rgdpna,AIA,1983,39.96963119506840000
rgdpna,AIA,1984,41.74810028076170000
rgdpna,AIA,1985,47.11615753173830000
rgdpna,AIA,1986,53.12312698364260000
rgdpna,AIA,1987,58.77305221557620000
rgdpna,AIA,1988,67.91816711425780000
rgdpna,AIA,1989,73.69229125976560000
rgdpna,AIA,1990,92.48646545410160000
rgdpna,AIA,1991,75.68618774414060000
rgdpna,AIA,1992,97.41143798828130000
rgdpna,AIA,1993,104.64481353759800000
rgdpna,AIA,1994,113.02293395996100000
rgdpna,AIA,1995,110.40005493164100000
rgdpna,AIA,1996,113.16760253906300000
rgdpna,AIA,1997,125.26306152343800000
rgdpna,AIA,1998,138.17617797851600000
rgdpna,AIA,1999,143.27098083496100000
rgdpna,AIA,2000,145.36474609375000000
rgdpna,AIA,2001,148.60188293457000000
rgdpna,AIA,2002,143.11029052734400000
rgdpna,AIA,2003,151.84053039550800000
rgdpna,AIA,2004,172.29249572753900000
rgdpna,AIA,2005,194.88507080078100000
rgdpna,AIA,2006,233.88169860839800000
rgdpna,AIA,2007,265.81234741210900000
rgdpna,AIA,2008,262.24438476562500000
rgdpna,AIA,2009,213.81166076660200000
rgdpna,AIA,2010,204.06053161621100000
rgdpna,AIA,2011,211.23046875000000000
rgdpna,AIA,2012,199.04821777343800000
rgdpna,AIA,2013,197.73817443847700000
rgdpna,AIA,2014,207.75527954101600000
rgdpna,AIA,2015,214.29371643066400000
rgdpna,AIA,2016,208.86839294433600000
rgdpna,AIA,2017,195.63452148437500000
rgdpna,AIA,2018,212.01066589355500000
rgdpna,AIA,2019,223.45671081543000000
rgdpna,ALB,1970,9084.57421875000000000
rgdpna,ALB,1971,9448.03125000000000000
rgdpna,ALB,1972,9827.26660156250000000
rgdpna,ALB,1973,10222.11718750000000000
rgdpna,ALB,1974,10628.00097656250000000
rgdpna,ALB,1975,11058.77636718750000000
rgdpna,ALB,1976,11504.43457031250000000
rgdpna,ALB,1977,11944.95214843750000000
rgdpna,ALB,1978,12458.78613281250000000
rgdpna,ALB,1979,12952.16601562500000000
rgdpna,ALB,1980,13370.69042968750000000
rgdpna,ALB,1981,14138.91406250000000000
rgdpna,ALB,1982,14555.82031250000000000
rgdpna,ALB,1983,14716.65429687500000000
rgdpna,ALB,1984,14532.45996093750000000
rgdpna,ALB,1985,14791.22949218750000000
rgdpna,ALB,1986,15618.75585937500000000
rgdpna,ALB,1987,15495.66015625000000000
rgdpna,ALB,1988,15275.52636718750000000
rgdpna,ALB,1989,16778.72851562500000000
rgdpna,ALB,1990,15105.70800781250000000
rgdpna,ALB,1991,10875.78613281250000000
rgdpna,ALB,1992,10094.13085937500000000
rgdpna,ALB,1993,11059.07031250000000000
rgdpna,ALB,1994,11977.29101562500000000
rgdpna,ALB,1995,13572.94531250000000000
rgdpna,ALB,1996,14808.31835937500000000
rgdpna,ALB,1997,13203.41503906250000000
rgdpna,ALB,1998,14369.19042968750000000
rgdpna,ALB,1999,16221.48144531250000000
rgdpna,ALB,2000,17348.26562500000000000
rgdpna,ALB,2001,18787.00781250000000000
rgdpna,ALB,2002,19639.29296875000000000
rgdpna,ALB,2003,20725.07812500000000000
rgdpna,ALB,2004,21868.02343750000000000
rgdpna,ALB,2005,23076.55468750000000000
rgdpna,ALB,2006,24438.66796875000000000
rgdpna,ALB,2007,25900.89062500000000000
rgdpna,ALB,2008,27843.48242187500000000
rgdpna,ALB,2009,28777.42968750000000000
rgdpna,ALB,2010,29844.17968750000000000
rgdpna,ALB,2011,30603.84375000000000000
rgdpna,ALB,2012,31037.57226562500000000
rgdpna,ALB,2013,31348.56445312500000000
rgdpna,ALB,2014,31904.84179687500000000
rgdpna,ALB,2015,32612.73046875000000000
rgdpna,ALB,2016,33693.83984375000000000
rgdpna,ALB,2017,34974.94531250000000000
rgdpna,ALB,2018,36398.88281250000000000
rgdpna,ALB,2019,37204.77343750000000000
rgdpna,ARE,1970,47921.84765625000000000
rgdpna,ARE,1971,54869.99218750000000000
rgdpna,ARE,1972,62826.14062500000000000
rgdpna,ARE,1973,71936.20312500000000000
rgdpna,ARE,1974,82365.61718750000000000
rgdpna,ARE,1975,87495.03125000000000000
rgdpna,ARE,1976,100655.71093750000000000
rgdpna,ARE,1977,118210.46875000000000000
rgdpna,ARE,1978,115437.61718750000000000
rgdpna,ARE,1979,144166.76562500000000000
rgdpna,ARE,1980,182256.56250000000000000
rgdpna,ARE,1981,187435.54687500000000000
rgdpna,ARE,1982,171971.62500000000000000
rgdpna,ARE,1983,163326.15625000000000000
rgdpna,ARE,1984,170380.25000000000000000
rgdpna,ARE,1985,166309.75000000000000000
